Comment,Designator,Footprint,LCSC Part #
10nF,C1,C_0603_1608Metric,
5.1k,"R9,R7",R_0603_1608Metric,
10k,R10,R_0603_1608Metric,
LTC4054ES5-4.2,U3,TSOT-23-5,
AO3401A,"Q2,Q1",SOT-23,
5.1M,"R5,R8",R_0603_1608Metric,
1N5819,D3,D_SOD-323,
100k,R12,R_0603_1608Metric,
2M,R11,R_0603_1608Metric,
1k,"R4,R6",R_0603_1608Metric,
MCP1700-3302E_SOT23,U4,SOT-23,
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
